,Team,Season,Record,PJ Positive
0,Bucks,1970-71,66-16,True
1,Lakers,1971-72,69-13,True
2,Knicks,1972-73,57-25,True
3,Celtics,1973-74,56-26,True
4,Warriors,1974-75,48-34,False
5,Celtics,1975-76,54-28,True
6,Trail Blazers,1976-77,49-33,False
7,Bullets,1977-78,44-38,False
8,SuperSonics,1978-79,52-30,False
9,Lakers,1979-80,60-22,True
10,Celtics,1980-81,62-20,True
11,Lakers,1981-82,57-25,True
12,76ers,1982-83,65-17,True
13,Celtics,1983-84,62-20,True
14,Lakers,1984-85,62-20,True
15,Celtics,1985-86,67-15,True
16,Lakers,1986-87,65-17,True
17,Lakers,1987-88,62-20,True
18,Pistons,1988-89,63-19,True
19,Pistons,1989-90,59-23,True
20,Bulls,1990-91,61-21,True
21,Bulls,1991-92,67-15,True
22,Bulls,1992-93,57-25,True
23,Rockets,1993-94,58-24,True
24,Rockets,1994-95,47-35,False
25,Bulls,1995-96,72-10,True
26,Bulls,1996-97,69-13,True
27,Bulls,1997-98,62-20,True
28,Spurs,1998-99,37-13,True
29,Lakers,1999-00,67-15,True
30,Lakers,2000-01,56-26,True
31,Lakers,2001-02,58-24,True
32,Spurs,2002-03,60-22,True
33,Pistons,2003-04,54-28,True
34,Spurs,2004-05,59-23,True
35,Heat,2005-06,52-30,True
36,Spurs,2006-07,58-24,True
37,Celtics,2007-08,66-16,True
38,Lakers,2008-09,65-17,True
39,Lakers,2009-10,57-25,True
40,Mavericks,2010-11,57-25,True
41,Heat,2011-12,46-20,True
42,Heat,2012-13,66-16,True
43,Spurs,2013-14,62-20,True
44,Warriors,2014-15,67-15,True
45,Cavaliers,2015-16,57-25,True
46,Warriors,2016-17,67-15,True
47,Warriors,2017-18,58-24,True
48,Raptors,2018-19,58-24,True
49,Lakers,2019-20,52-19,True
50,Bucks,2020-21,46-26,False
51,Warriors,2021-22,53-29,True
52,Nuggets,2022-23,53-29,True
